Unique ID;Player;Age;Best Pos;Position;Nation;CA;PA;Ambition;Consistency;Important Matches;Injury Proneness;Professionalism;Height;Determination;Personality;Preferred Foot;AT Apps;Int Apps;AT Gls;Corners;Crossing;Dribbling;Finishing;First Touch;Free Kick Taking;Heading;Long Shots;Long Throws;Marking;Passing;Penalty Taking;Tackling;Technique;Aggression;Anticipation;Bravery;Composure;Concentration;Decisions;Flair;Leadership;Off The Ball;Positioning;Team Work;Vision;Work Rate;Acceleration;Agility;Balance;Jumping Reach;Natural Fitness;Pace;Stamina;Strength;Aerial Reach;Command Of Area;Communication;Eccentricity;Handling;Kicking;One On Ones;Punching;Reflexes;Rushing Out (Tendency);Throwing
2002402173;Andrea Bisceglia;15;GK;GK;Italy;83;147;15;7;9;4;13;182 cm;12;Fairly Ambitious;Right-Footed;0;0;0;5;3;1;3;5;6;1;2;1;1;7;3;1;4;9;7;10;7;9;13;1;7;3;11;13;10;8;10;7;14;8;13;12;9;7;10;10;13;12;9;8;11;13;14;13;8
2002267241;Nicola Guerri;18;GK;GK;Italy;79;79;12;9;4;8;10;184 cm;10;Balanced;Right-Footed;0;0;0;3;3;1;1;2;4;1;1;2;2;8;3;1;4;8;8;9;6;11;11;3;5;3;11;11;10;8;8;14;13;12;6;10;7;11;9;10;9;2;15;5;9;5;7;7;11
2002188319;Alessandro Willeit;20;GK;GK;Italy;140;159;13;10;15;9;11;181 cm;14;Balanced;Right-Footed;94;0;0;4;2;2;1;6;4;1;2;3;3;9;2;2;5;16;9;18;10;14;15;2;16;3;12;8;12;7;12;16;11;11;6;12;6;11;11;14;12;13;11;14;14;12;16;10;12
2002349331;Giuseppe Finizio;17;GK;GK;Italy;89;148;13;9;8;10;16;181 cm;13;Fairly Professional;Right-Footed;1;0;0;1;3;3;1;4;4;1;3;1;1;8;1;1;8;13;10;5;8;14;14;2;10;2;14;3;6;6;9;10;11;12;7;8;7;5;6;13;13;13;14;7;8;14;14;5;9
2002310355;Alex Di Muro;17;GK;GK;Italy;85;85;11;9;9;1;15;184 cm;13;Fairly Professional;Right-Footed;0;0;0;2;3;2;3;3;4;1;1;3;1;7;2;1;6;9;7;8;6;13;12;1;6;3;12;14;7;9;8;12;8;11;13;9;8;7;7;9;7;3;15;11;13;13;13;8;8
2002310367;Luca Iannucci;18;D (C);D (C);Italy;56;56;13;7;7;3;15;183 cm;12;Fairly Professional;Right-Footed;0;0;0;2;3;6;2;8;1;11;1;2;7;8;2;5;12;7;11;10;5;7;13;5;10;2;11;11;7;13;7;9;8;8;11;11;11;7;2;1;2;1;2;3;2;3;2;1;2
2000098305;Saverio Domanico;25;D (R);D (RC);Italy;134;134;12;11;5;7;10;191 cm;9;Balanced;Right-Footed Only;84;0;5;5;6;7;6;9;4;15;11;7;14;11;5;15;9;9;14;10;12;14;12;7;12;7;14;12;13;12;13;12;12;17;16;14;13;16;2;1;3;2;2;2;2;2;1;1;3
2002310366;Diego Cuoghi;17;D (C);D (C);Italy;59;59;13;15;12;4;14;188 cm;12;Spirited;Left-Footed;0;0;0;2;3;2;1;7;1;7;4;3;7;8;3;9;10;8;8;8;6;11;11;7;7;4;12;5;8;9;9;7;6;12;13;9;8;12;1;3;1;2;2;3;1;4;1;4;1
2002349339;Matteo D'Ovidio;16;D (C);D (C);Italy;96;143;12;8;8;8;13;195 cm;10;Balanced;Left-Footed;9;0;1;2;3;2;3;10;1;11;2;4;12;7;3;9;11;10;11;14;13;10;13;7;10;4;13;5;5;9;9;10;7;18;10;10;11;12;3;2;2;1;2;3;1;3;2;1;3
2000241770;Alessandro Bagnaschi;24;D (C);D (C);Italy;102;102;12;8;8;8;11;187 cm;10;Balanced;Right-Footed;64;0;0;4;1;4;3;7;1;14;2;3;14;8;1;13;4;14;11;10;8;9;10;6;12;6;9;8;9;8;16;15;9;13;14;16;11;11;2;3;2;3;4;1;3;3;2;2;3
2002349338;Francesco Quinto;17;D (C);D (LC);Italy;69;95;12;7;4;11;10;183 cm;10;Balanced;Left-Footed;0;0;0;1;5;3;1;7;3;11;3;3;13;8;4;12;4;10;10;11;7;11;10;3;5;5;12;9;6;13;8;7;14;9;14;10;9;9;2;1;3;2;2;3;3;3;2;2;1
2002267247;Michael Guerra;18;D (C);D (LC);Italy;50;50;11;7;14;9;10;195 cm;8;Balanced;Left-Footed;0;0;0;1;4;4;2;5;4;5;1;1;11;6;1;5;8;10;8;9;5;10;7;2;11;5;10;15;4;14;8;9;14;15;13;9;10;6;2;2;1;1;3;3;2;2;3;2;3
2002402176;Gabriele Tarallo;15;D (C);D (RLC);Italy;87;149;12;9;15;11;11;187 cm;15;Realist;Right-Footed;0;0;0;4;6;5;2;10;8;13;4;7;10;9;4;13;10;19;14;10;6;11;8;8;12;10;10;14;7;15;10;11;8;14;8;15;10;12;1;2;2;1;3;3;2;3;2;1;3
2002188323;Vincenzo Iozzia;19;D (L);D (LC);Italy;74;100;3;6;8;6;13;169 cm;4;Unambitious;Left-Footed;0;0;0;3;4;7;3;3;1;6;2;2;10;8;1;8;8;10;7;13;5;10;12;10;12;4;10;9;7;8;13;12;11;2;15;13;14;12;1;2;1;1;3;2;3;1;3;2;3
2002402179;Nicolò Califano;15;D (C);D (LC);Italy;66;118;3;9;6;2;13;177 cm;6;Unambitious;Left-Footed;0;0;0;5;10;8;4;14;3;7;5;5;9;7;2;8;14;15;8;15;5;11;12;4;1;10;11;8;8;11;10;9;9;8;11;12;8;6;1;3;2;3;1;3;2;1;3;2;1
2002402178;Salvatore Palumbo;15;D (C);D (RLC);Italy;62;123;15;14;14;3;13;183 cm;14;Fairly Ambitious;Right-Footed;0;0;0;2;5;1;3;11;3;6;2;5;12;6;3;8;10;9;7;19;9;11;12;2;2;5;10;7;11;7;7;9;7;8;11;11;11;7;2;3;3;2;1;3;2;3;1;3;2
2002349342;Lorenzo Ranucci;16;D (L);D (L);Italy;64;93;15;8;15;14;14;173 cm;14;Perfectionist;Left-Footed Only;0;0;0;1;6;4;2;5;1;1;3;4;11;5;1;9;7;11;7;13;5;10;12;2;14;6;8;16;3;12;12;11;14;4;9;12;13;7;1;2;1;3;1;2;3;3;3;2;3
2002310368;Luca Ferraro;18;WB (R);D/WB (R);Italy;58;58;11;5;15;14;10;179 cm;12;Jovial;Right-Footed Only;0;0;0;3;5;10;3;5;3;4;3;4;10;6;3;8;9;8;6;10;5;7;9;7;3;5;7;8;5;13;15;13;8;7;11;11;12;6;1;1;3;2;2;3;1;1;3;3;3
2002267242;Alexander Bonello;19;WB (R);D/WB (R);Italy;86;103;5;8;14;7;12;170 cm;12;Unambitious;Right-Footed;5;0;0;2;9;5;3;9;1;6;5;2;10;5;1;7;10;8;10;11;5;8;11;10;7;6;7;17;6;16;13;16;14;3;12;13;15;7;2;3;2;3;2;2;1;3;1;2;2
2002402184;Francesco Bove;15;D (R);D/WB (R);Italy;50;74;11;5;12;6;15;178 cm;11;Fairly Professional;Right-Footed;0;0;0;4;4;6;4;5;3;4;3;4;9;7;2;14;10;14;9;5;4;8;8;2;15;6;11;4;8;5;13;10;8;12;13;10;7;6;3;2;1;1;1;1;1;2;4;3;2
2002310358;Enrico Malandrino;18;DM;D (C), DM;Italy;86;114;11;14;15;8;12;171 cm;9;Balanced;Right-Footed;0;0;0;5;4;7;5;13;7;5;8;3;8;7;4;11;15;8;9;15;8;10;11;7;4;7;12;10;7;9;11;8;17;7;15;12;15;15;2;1;1;3;1;3;4;1;3;2;4
2002349337;Stefano Vacca;16;D (R);D (RC), WB (R);Italy;108;155;10;14;15;7;15;194 cm;15;Spirited;Right-Footed;13;0;2;4;10;8;2;12;2;10;8;6;9;11;5;9;17;8;14;10;8;11;10;3;6;11;16;10;8;15;13;10;16;19;16;11;14;9;3;1;2;2;1;3;2;3;4;3;3
2000495933;Manuel Villa;22;D (C);D (C), DM;Italy;114;129;12;9;2;13;13;192 cm;8;Balanced;Right-Footed;24;0;2;1;1;2;1;7;1;13;2;1;14;7;1;14;4;6;14;9;8;11;14;5;12;5;14;7;4;7;12;13;9;17;13;15;7;14;3;1;3;3;2;1;3;1;2;1;1
2002267243;Stefano Sechi;19;D (C);D (C), DM;Italy;74;83;9;8;3;4;10;193 cm;9;Low Self Belief;Left-Footed;0;0;0;3;2;3;2;9;2;12;3;3;10;7;2;12;6;19;11;7;9;9;11;2;8;4;8;10;8;12;10;9;8;14;15;12;11;13;3;2;3;3;3;1;2;1;3;1;4
2000098494;Leonardo Colombo;25;DM;D (C), DM, M (C);Italy;111;111;10;11;7;9;10;179 cm;9;Balanced;Right-Footed;140;0;3;4;8;10;5;11;5;9;9;4;12;15;6;11;12;10;15;9;12;15;14;9;10;11;14;14;13;11;11;10;13;7;12;11;13;11;4;3;2;1;3;3;1;4;3;3;4
2002310357;Idrissa Bâ;18;DM;D (C), DM, M (C);Senegal;95;139;17;12;13;11;10;184 cm;13;Fairly Ambitious;Right-Footed;20;0;1;7;2;5;5;9;9;6;6;3;10;15;5;9;13;12;11;16;9;11;11;4;4;9;11;8;14;12;12;11;16;11;5;12;12;10;3;3;1;2;2;3;2;3;2;1;2
2000241777;Samuele Capolupo;24;D (L);D/WB (L);Italy;106;106;12;11;11;6;12;182 cm;13;Balanced;Left-Footed;131;0;1;4;8;9;4;7;2;8;5;5;12;10;3;13;10;12;10;10;9;14;16;10;15;11;9;10;10;10;11;15;12;13;9;15;10;13;2;2;2;1;3;3;1;3;1;2;1
2000209239;Andrea De Bonis;24;D (L);D (LC), WB (L);Italy;84;84;12;20;14;11;9;185 cm;4;Balanced;Left-Footed;28;0;0;4;7;13;3;10;4;8;4;3;10;7;2;13;11;15;10;6;7;11;10;8;12;4;10;11;3;11;15;13;14;13;12;14;9;6;2;1;1;3;3;2;3;3;2;3;3
2000183048;Adam Bakoune;24;WB (R);D (R), WB (RL);Italy;106;106;12;12;8;6;13;195 cm;12;Balanced;Right-Footed Only;88;0;3;4;12;11;4;11;4;12;10;13;12;12;4;10;12;10;9;13;10;12;10;10;12;13;12;13;8;13;11;13;15;15;15;15;12;12;2;2;3;2;3;1;1;3;1;2;2
2002310364;Stefano Pino;18;D (L);D/WB (L);Italy;89;89;9;8;11;8;12;176 cm;16;Fairly Determined;Left-Footed;0;0;0;5;8;7;8;7;2;5;8;5;7;9;3;10;9;10;9;11;8;11;10;11;14;9;10;14;8;12;15;13;12;6;13;13;11;9;3;3;4;1;1;4;2;1;2;2;4
2002188330;Bernd Schlegel;20;WB (R);D (RLC), WB (R);Italy;90;112;10;8;15;9;11;172 cm;11;Balanced;Right-Footed;9;0;0;3;7;9;3;9;2;5;3;1;12;8;1;10;7;12;12;19;5;10;9;8;12;5;8;12;6;13;15;11;10;7;14;11;13;10;1;3;3;1;1;1;1;3;3;2;2
2002310361;Roberto Chiodo;17;WB (L);D/WB (L);Italy;93;132;8;8;8;6;13;172 cm;15;Fairly Determined;Left-Footed;11;0;0;3;7;8;3;9;1;7;5;4;14;14;7;8;13;8;11;15;6;10;12;8;6;8;11;12;6;13;11;11;12;5;9;10;17;10;1;1;3;3;1;1;4;1;2;2;3
43274094;Samuele Birindelli;30;WB (R);D (RL), WB (R);Italy;135;135;12;15;12;8;12;175 cm;13;Fairly Loyal;Right-Footed;418;0;36;11;13;12;8;13;7;9;11;12;11;13;7;13;13;10;14;11;11;13;12;11;9;13;13;12;10;13;15;14;11;8;13;15;13;11;2;2;1;1;2;2;3;2;2;3;2
2002267253;Jacopo Russo;19;WB (R);D (RL), WB (R);Italy;76;76;7;14;15;9;5;185 cm;5;Low Determination;Uses Both Feet;0;0;0;4;8;7;3;10;2;6;4;4;8;9;3;9;14;15;6;7;6;9;9;2;2;9;6;15;8;11;9;13;15;11;12;10;12;8;3;2;1;3;2;1;2;1;1;2;1
2002349336;Daniele Finizio;16;DM;DM, M (C);Italy;86;94;15;11;7;11;14;170 cm;13;Fairly Ambitious;Uses Both Feet;0;0;0;4;5;6;6;10;4;6;8;3;10;8;5;11;14;9;11;8;11;8;12;5;5;9;8;7;9;12;11;10;16;7;10;9;12;8;3;3;3;1;2;2;2;2;2;3;3
2002267244;Matteo Sotgiu;19;M (R);DM, M (RC);Italy;71;71;6;9;12;5;13;168 cm;5;Low Determination;Right-Footed;0;0;0;4;8;8;5;9;6;4;5;4;5;13;5;6;14;12;7;11;6;6;13;7;9;8;7;17;10;15;14;10;5;3;12;11;11;4;3;2;2;3;2;3;1;3;1;4;3
43155796;Matteo Pessina;33;M (C);DM, M (C), AM (RC);Italy;127;144;16;17;13;5;17;183 cm;17;Spirited;Left-Footed;450;16;70;8;10;11;11;14;6;11;11;3;9;15;14;12;14;14;13;14;13;13;12;14;14;14;11;15;13;14;13;11;12;12;12;12;12;10;3;1;1;2;2;1;2;3;3;2;3
2002402175;Christian Negro;16;M (C);DM, M/AM (C);Italy;83;156;15;10;4;10;11;174 cm;11;Fairly Ambitious;Right-Footed;0;0;0;6;7;10;7;11;10;6;6;2;3;13;5;8;13;11;6;9;8;8;12;14;7;9;6;15;11;11;14;11;14;8;12;11;6;6;3;1;3;1;1;1;1;3;2;2;4
2002310360;Florim Salihu;17;DM;DM, M (C);Italy;118;138;11;9;7;7;10;172 cm;13;Balanced;Right-Footed;52;0;1;4;6;8;9;15;4;10;8;2;11;12;7;15;12;14;12;7;12;13;12;6;14;10;12;12;10;16;12;13;16;6;16;14;13;11;3;3;3;3;3;2;1;1;1;3;3
2002188324;Giovanni Izzo;19;AM (R);DM, M (RC), AM (R);Italy;106;106;6;9;12;16;12;175 cm;4;Low Determination;Right-Footed;37;0;1;9;8;12;10;10;3;2;6;1;5;13;5;9;15;12;10;6;7;8;10;14;14;7;6;10;7;11;14;11;7;11;14;14;15;8;1;2;1;3;1;3;2;1;1;1;2
2002310362;Anthony Husser;17;DM;DM, M (RC);France;103;103;13;9;11;8;15;176 cm;12;Fairly Professional;Right-Footed;18;0;0;5;8;9;6;13;8;4;6;2;9;15;10;11;16;15;11;12;10;11;14;7;10;9;11;11;13;16;11;9;15;8;13;11;13;7;2;2;1;3;3;1;3;3;2;3;1
2002188322;Marko Kos;19;DM;DM, M (C);Slovenia;104;104;6;7;13;13;12;175 cm;14;Light-Hearted;Right-Footed;16;0;0;4;6;6;8;11;4;8;11;1;7;14;7;8;12;15;12;9;11;11;13;7;14;7;11;8;13;11;12;14;16;9;14;14;10;12;3;3;1;1;2;1;2;3;3;2;1
2002267251;Matteo Serra;19;M (C);DM, M/AM (C);Italy;96;96;16;15;15;1;13;161 cm;13;Spirited;Right-Footed;0;0;0;7;5;8;7;15;8;5;9;4;9;12;7;15;10;12;10;6;8;11;13;13;15;8;10;13;9;10;11;12;13;6;14;10;12;6;4;1;2;1;3;3;1;1;2;3;3
2002349335;Massimo Donnarumma;16;DM;DM, M (LC);Italy;97;120;13;10;13;11;16;168 cm;16;Resolute;Left-Footed;0;0;0;8;7;10;7;13;8;7;8;5;9;11;4;7;12;15;10;18;10;9;15;3;7;8;9;14;12;11;9;9;10;7;5;8;16;9;3;2;2;1;2;1;3;1;3;1;3
