Unique ID;Player;Nation;2nd Nat;Club;Division;Position;Age;Height;Left Foot;Right Foot;CA;PA;Transfer Value;Wage;Expires;Appearances;Minutes;Goals;Goals From Outside The Box;xG;NP-xG;xG-OP;xG/shot;Shots;Shots From Outside The Box Per 90 minutes;Shots on Target;Penalties Taken;Penalties Scored;Free Kick Shots;Assists;xA;Chances Created per 90;Clear Cut Chances Created;Key Passes;Open Play Key Passes per 90;Crosses Attempted;Crosses Completed;Open Play Crosses Attempted;Open Play Crosses Completed;Passes Attempted;Passes Completed;PsP;Dribbles;Distance;Sprints/90;Possession Lost per 90;Tackles Attempted;Tackled Completed;Key Tackles;Interceptions;Possession Won per 90;Pres A;Pres C;Blk;Shts Blckd;Clearances;Headers Attempted;Headers Won;Headers Lost per 90;Key Headers per 90;Clean Sheets;Goals Conceded;Saves per 90;Save Percentage;Expected Save Percentage;xGP;Saves Held;Saves Parried;Saves Tipped;Penalties Faced;Penalties Saved;Fouls Made;Fouls Against;Yellow Cards;Red cards;Off;Mistakes Leading to Goals;Rating;Player of the Match;Games Won;Games Drawn;Games Lost;Team Goals
2002402173;Andrea Bisceglia;Italy;;Monza;Serie A;GK;15;182 cm;Weak;Very Strong;83;147;€19.5M - €25M;€260 p/w;30/6/2034;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0.0;0;0;0.0;0;0;0;0;0;0;0;0;0.0km;0.0;0.0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;0;0;0;0;0
2002310355;Alex Di Muro;Italy;;Monza;Serie A;GK;17;184 cm;Reasonable;Very Strong;85;85;€180K - €900K;€220 p/w;30/6/2032;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0.0;0;0;0.0;0;0;0;0;0;0;0;0;0.0km;0.0;0.0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;0;0;0;0;0
2002267238;Mattia Abeni;Italy;;Monza;Serie A;GK;18;184 cm;Reasonable;Very Strong;87;117;€1.1M - €6M;€875 p/w;30/6/2031;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0.0;0;0;0.0;0;0;0;0;0;0;0;0;0.0km;0.0;0.0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;0;0;0;0;0
2002188319;Alessandro Willeit;Italy;Switzerland;Monza;Serie A;GK;20;181 cm;Reasonable;Very Strong;140;159;€30M - €35M;€6.5K p/w;30/6/2033;38;3420;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0.08;0.0;0;0;0.0;0;0;0;0;1179;1118;20;0;205.1km;0.0;2.2;3;0;0;21;9.6;0;0;0;0;0;0;0;0.0;0.0;11;51;6;84;88;13.38;88;126;23;3;0;0;0;0;0;0;2;7.17;4;17;5;16;57
2002267241;Nicola Guerri;Italy;;Monza;Serie A;GK;18;184 cm;Reasonable;Very Strong;79;79;€180K - €375K;€260 p/w;30/6/2031;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0.0;0;0;0.0;0;0;0;0;0;0;0;0;0.0km;0.0;0.0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;0;0;0;0;0
2002349331;Giuseppe Finizio;Italy;;Monza;Serie A;GK;17;181 cm;Fairly Strong;Very Strong;89;148;€12M - €15.5M;€1.2K p/w;30/6/2032;1;90;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0.0;0;0;0.0;0;0;0;0;24;22;0;0;5.4km;0.0;2.0;0;0;1;1;10.0;0;0;0;0;0;0;0;0.0;0.0;0;3;3;50;81;-1.13;1;2;0;0;0;0;0;0;0;0;0;6.40;0;0;0;1;1
2000241770;Alessandro Bagnaschi;Italy;;Monza;Serie A;D (C);23;187 cm;Reasonable;Very Strong;102;102;€1.2M - €2.8M;€3.6K p/w;30/6/2031;33;2970;0;0;1.29;1.29;-1.29;0.215;6;0.0;1;0;0;0;1;0.19;0.1;3;1;0.0;0;0;0;0;1931;1818;82;0;340.3km;4.2;4.3;25;17;9;94;8.6;85;24;29;22;69;133;88;1.4;0.5;0;0;0;0;0;0;0;0;0;0;0;14;4;2;0;3;0;6.88;1;15;5;13;47
2002349339;Matteo D'Ovidio;Italy;;Monza;Serie A;D (C);16;195 cm;Very Strong;Reasonable;96;143;€14M - €19M;€260 p/w;30/6/2033;9;810;1;0;0.46;0.46;0.54;0.115;4;0.0;3;0;0;0;0;0;0.0;0;0;0.0;1;0;0;0;483;433;43;0;91.7km;6.9;6.1;9;8;1;20;8.6;16;4;6;6;14;46;30;1.8;1.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6.82;0;5;0;4;14
2002310366;Diego Cuoghi;Italy;Germany;Monza;Serie A;D (C);17;188 cm;Very Strong;Reasonable;59;59;€22K - €220K;€220 p/w;30/6/2032;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0.0;0;0;0.0;0;0;0;0;0;0;0;0;0.0km;0.0;0.0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;0;0;0;0;0
2000098305;Saverio Domanico;Italy;;Monza;Serie A;D (RC);25;191 cm;Weak;Very Strong;134;134;€17.5M - €19M;€14.5K p/w;30/6/2033;35;3150;0;0;1.2;1.2;-1.2;0.0666666666666667;18;0.1;8;0;0;0;2;0.98;0.1;4;3;0.1;0;0;0;0;2272;2083;172;0;380.0km;7.6;5.9;17;12;2;114;12.1;93;24;40;37;52;329;235;2.7;2.6;0;0;0;0;0;0;0;0;0;0;0;8;4;1;0;0;1;7.07;1;14;5;16;54
2002310367;Luca Iannucci;Italy;;Monza;Serie A;D (C);17;183 cm;Reasonable;Very Strong;56;56;€6K - €55K;€220 p/w;30/6/2032;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0.0;0;0;0.0;0;0;0;0;0;0;0;0;0.0km;0.0;0.0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;0;0;0;0;0
2002188323;Vincenzo Iozzia;Italy;;Monza;Serie A;D (LC);19;169 cm;Very Strong;Reasonable;74;100;€300K - €650K;€750 p/w;30/6/2034;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0.0;0;0;0.0;0;0;0;0;0;0;0;0;0.0km;0.0;0.0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;0;0;0;0;0
2002267247;Michael Guerra;Italy;Italy;Monza;Serie A;D (LC);18;195 cm;Very Strong;Weak;50;50;€4.5K - €35K;€220 p/w;30/6/2031;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0.0;0;0;0.0;0;0;0;0;0;0;0;0;0.0km;0.0;0.0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;0;0;0;0;0
2002402179;Nicolò Califano;Italy;;Monza;Serie A;D (LC);15;177 cm;Very Strong;Reasonable;66;118;€425K - €4.2M;€260 p/w;30/6/2034;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0.0;0;0;0.0;0;0;0;0;0;0;0;0;0.0km;0.0;0.0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;0;0;0;0;0
2002402178;Salvatore Palumbo;Italy;;Monza;Serie A;D (RLC);15;183 cm;Fairly Strong;Very Strong;62;123;€350K - €7M;€260 p/w;30/6/2034;3 (25);0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0.0;0;0;0.0;0;0;0;0;0;0;0;0;0.0km;0.0;0.0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;0;0;0;0;0
2002402176;Gabriele Tarallo;Italy;;Monza;Serie A;D (RLC);15;186 cm;Weak;Very Strong;87;149;€19M - €33M;€260 p/w;30/6/2034;35 (2);0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0.0;0;0;0.0;0;0;0;0;0;0;0;0;0.0km;0.0;0.0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;0;0;0;0;0
2002349338;Francesco Quinto;Italy;;Monza;Serie A;D (LC);17;183 cm;Very Strong;Reasonable;69;95;€200K - €1.1M;€260 p/w;30/6/2033;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0.0;0;0;0.0;0;0;0;0;0;0;0;0;0.0km;0.0;0.0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;0;0;0;0;0
2002349342;Lorenzo Ranucci;Italy;;Monza;Serie A;D (L);16;173 cm;Very Strong;Weak;64;93;€130K - €1.1M;€260 p/w;30/6/2033;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0.0;0;0;0.0;0;0;0;0;0;0;0;0;0.0km;0.0;0.0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;0;0;0;0;0
